director_id,director_name
308,Mike Nichols
309,Vicky Jenson
310,F. Gary Gray
311,Antoine Fuqua
312,Robert Luketic
313,Gil Kenan
314,Barry Levinson
315,Jerry Zucker
316,Andy Tennant
317,Florent-Emilio Siri
318,Gary Goldman
319,Don Bluth
320,Ron Shelton
321,Àlex Pastor
322,David Pastor
323,Henry Selick
324,Kyle Balda
325,Fergal Reilly
326,Clay Kaytis
327,Judd Apatow
328,Steve Carr
329,Mel Gibson
330,David Silverman
331,Frank Darabont
332,Betty Thomas
333,Joe Ranft
334,Garry Marshall
335,Paul Tibbitt
336,Clark Johnson
337,Cameron Crowe
338,Randall Wallace
339,Jonathan Frakes
340,George Clooney
341,Gary Shore
342,Andrzej Bartkowiak
343,Måns Mårlind
344,Björn Stein
345,Gregory Hoblit
346,Gary McKendry
347,Wych Kaosayananda
348,Mikael Salomon
349,Bobby Farrelly
350,Peter Farrelly
351,Dan St. Pierre
352,Kerry Conran
353,Michael Caton-Jones
354,Mikael Håfström
355,Phil Alden Robinson
356,David Slade
357,Joseph Ruben
358,Seth MacFarlane
359,Alejandro Amenábar
360,Kinka Usher
361,Craig Gillespie
362,Rob Bowman
363,Doug Lefler
364,Scott Waugh
365,Lawrence Kasdan
366,Michael Lembeck
367,Tom Hooper
368,Nora Ephron
369,Angelina Jolie
370,Clint Eastwood
371,Larry Charles
372,Stanley Kubrick
373,Will Gluck
374,Glenn Ficarra
375,John Requa
376,David S. Goyer
377,Taylor Hackford
378,Michael Lehmann
379,Stuart Beattie
380,Roman Polanski
381,Robert Rodriguez
382,Frank Miller
383,Baltasar Kormákur
384,Daniel Lee
385,Keenen Ivory Wayans
386,Rob Reiner
387,Marco Schnabel
388,Demian Lichtenstein
389,Josh Gordon
390,Will Speck
391,Tim Hill
392,David Frankel
393,Marc Lawrence
394,Peter Billingsley
395,Wes Ball
396,Ryan Murphy
397,Robert Redford
398,Jay Russell
399,Kenny Ortega
400,David McNally
401,Brian Robbins
402,Brian Levant
403,Steven Zaillian
404,Chris Butler
405,Jon Avnet
406,Robert Stevenhagen
407,Kevin Donovan
408,Geoff Murphy
409,David O. Russell
410,Babak Najafi
411,Jean-Pierre Jeunet
412,Graham Annable
413,Griffin Dunne
414,John Pasquin
415,Ruben Fleischer
416,Harold Ramis
417,Kevin Macdonald
418,Donald Petrie
419,Jorge Blanco
420,Javier Abad
421,Marcos Martínez
422,Stuart Baird
423,Joel Coen
424,Robert Lorenz
425,Harold Becker
426,Scott Stewart
427,Patrick Gilmore
428,Tony Bill
429,Rod Lurie
430,Walter Hill
431,Jack Sholder
432,Akiva Goldsman
433,Harald Zwart
434,Walter Salles
435,Iain Softley
436,David Koepp
437,Uwe Boll
438,Soi Cheang
439,John Dahl
440,Tim Miller
441,Stephen Herek
442,Peter MacDonald
443,Anthony Hemingway
444,Sean Anders
445,Brian Taylor
446,Mark Neveldine
447,John Madden
448,Kevin Bray
449,Mike Gabriel
450,Sam Weisman
451,Jesse Dylan
452,Wayne Wang
453,Gabriele Muccino
454,Albert Magnoli
455,Tom Dey
456,Jimmy Hayward
457,Alan Parker
458,John Frankenheimer
459,Paul King
460,Akiva Schaffer
461,William Friedkin
462,Kent Alterman
463,Peter Lord
464,Jeff Newitt
465,Shekhar Kapur
466,Karyn Kusama
467,Ronald F. Maxwell
468,Robert Butler
469,Steve Antin
470,Jim Gillespie
471,Francis Ford Coppola
472,Richard Lester
473,Scott Cooper
474,Eli Roth
475,Rob Zombie
476,Jason Eisener
477,Curtis Hanson
478,Phyllida Lloyd
479,Jay Chandrasekhar
480,Terrence Malick
481,David Dobkin
482,Miloš Forman
483,Pierre Morel
484,Paul Hunter
485,Steve Oedekerk
486,John Whitesell
487,George Nolfi
488,Neil Jordan
489,Rawson Marshall Thurber
490,Spike Lee
491,Brian Helgeland
492,Frank Marshall
493,Hideo Nakata
494,Peter Hewitt
495,Joe Roth
496,Bennett Miller
497,Jaume Collet-Serra
498,Andy Fickman
499,Matthew O'Callaghan
500,Angela Robinson
501,Gary Fleder
502,Tommy Wirkola
503,Adrian Lyne
504,Stephen Gaghan
505,Jorge R. Gutierrez
506,Richard Loncraine
507,Christophe Gans
508,Howard Deutch
509,Jon Hurwitz
510,Hayden Schlossberg
511,Steven Quale
512,John Landis
513,Alexander Witt
514,Beeban Kidron
515,Carl Franklin
516,Steven Seagal
517,Danny Boyle
518,Andrew Bergman
519,Barbet Schroeder
520,Peter Webber
521,Andrew Niccol
522,Bong Joon-ho
523,John Carpenter
524,Wes Anderson
525,David Cronenberg
526,John Stockwell
527,David Gordon Green
528,Jim Sheridan
529,Costa-Gavras
530,Patrick Read Johnson
531,Richard LaGravenese
532,Danny DeVito
533,George Armitage
534,Patrick Lussier
535,James Wong
536,Richard Curtis
537,Chuck Bowman
538,Olivier Megaton
539,Deepa Mehta
540,Warren Beatty
541,Penny Marshall
542,Ted Kotcheff
543,Andrei Tarkovsky
544,Yvette Kaplan
545,Paul Bolger
546,Greg Tiernan
547,Stephen Frears
548,P.J. Hogan
549,Brad Furman
550,Terence Young
551,David Zucker
552,Denis Villeneuve
553,Thomas Carter
554,Roger Michell
555,Luis Llosa
556,Melville Shavelson
557,Garth Jennings
558,Joel Zwick
559,Russell Mulcahy
560,David R. Ellis
561,Peter Howitt
562,John A. Davis
563,David Lynch
564,Julie Taymor
565,Mathieu Kassovitz
566,John Gray
567,John Schultz
568,Sean Penn
569,Susan Stroman
570,Simon Wincer
571,Billy Bob Thornton
572,Danny Pang
573,Oxide Pang Chun
574,George P. Cosmatos
