genre_id,genre_name
0,Action
1,Adventure
2,Fantasy
3,Science Fiction
4,Crime
5,Drama
6,Thriller
7,Animation
8,Family
9,Western
10,Comedy
11,Romance
12,Horror
13,Mystery
14,History
15,War
16,Music
17,Documentary
18,Foreign
19,TV Movie
