,director_id,director_name
241,17698,Nancy Meyers
242,7881,Jill Culton
243,15812,Roger Allers
244,52691,Anthony Stacchi
245,17329,Neil Burger
246,2352,Jean-Jacques Annaud
247,208113,Sarah Smith
248,769,Martin Brest
249,12989,Andrew Davis
250,66777,Bob Fosse
251,56512,Tarsem Singh
252,11090,Edgar Wright
253,15148,Jon Amiel
254,13426,Peter Segal
255,43141,Pete Travis
256,14999,George A. Romero
257,16483,Sylvester Stallone
258,57130,Todd Phillips
259,52845,Karey Kirkpatrick
260,17046,Gary Winick
261,51984,Mimi Leder
262,71600,Seth Gordon
263,20739,Adam Shankman
264,40256,D.J. Caruso
265,2239,Anthony Minghella
266,11447,Albert Hughes
267,11448,Allen Hughes
268,56911,Les Mayfield
269,23677,Joe Pytka
270,55499,Scott Derrickson
271,8858,Ivan Reitman
272,9622,Eric Brevig
273,12079,Kelly Asbury
274,56660,Lorna Cook
275,2042,Stephen Hopkins
276,16294,Jonathan Demme
277,117075,Henry Jaglom
278,5690,James Algar
279,12824,Don Hahn
280,56146,Gaëtan Brizzi
281,56147,Paul Brizzi
282,65531,Eric Goldberg
283,74297,Hendel Butoy
284,74298,Francis Glebas
285,74299,Pixote Hunt
286,9198,Vincent Ward
287,32593,Steven Brill
288,280,Terry Gilliam
289,17627,Lucile Hadzihalilovic
290,561061,Neil Nightingale
291,5058,Roger Christian
292,4600,Joe Dante
293,1269,Kevin Costner
294,56154,Antony Hoffman
295,20030,Jacques Perrin
296,138857,Jacques Cluzaud
297,1172908,Andrés Couturier
298,12095,Cody Cameron
299,1046494,Kris Pearn
300,6482,John Singleton
301,7832,Oliver Hirschbiegel
302,11266,James McTeigue
303,588701,Des McAnuff
304,124748,Chris Renaud
305,10808,Stephen Norrington
306,124747,Pierre Coffin
307,4759,David Kellogg
308,5342,Mike Nichols
309,12058,Vicky Jenson
310,37932,F. Gary Gray
311,20907,Antoine Fuqua
312,36797,Robert Luketic
313,57193,Gil Kenan
314,8246,Barry Levinson
315,3415,Jerry Zucker
316,17167,Andy Tennant
317,1011158,Florent-Emilio Siri
318,12881,Gary Goldman
319,40345,Don Bluth
320,4037,Ron Shelton
321,94220,Àlex Pastor
322,94222,David Pastor
323,57646,Henry Selick
324,8023,Kyle Balda
325,52701,Fergal Reilly
326,1281387,Clay Kaytis
327,41039,Judd Apatow
328,52112,Steve Carr
329,2461,Mel Gibson
330,197,David Silverman
331,4027,Frank Darabont
332,31024,Betty Thomas
333,7911,Joe Ranft
334,1201,Garry Marshall
335,217174,Paul Tibbitt
336,47640,Clark Johnson
337,11649,Cameron Crowe
338,2460,Randall Wallace
339,2388,Jonathan Frakes
340,1461,George Clooney
341,1167470,Gary Shore
342,10765,Andrzej Bartkowiak
343,80923,Måns Mårlind
344,80924,Björn Stein
345,17812,Gregory Hoblit
346,141688,Gary McKendry
347,65615,Wych Kaosayananda
348,30149,Mikael Salomon
349,7395,Bobby Farrelly
350,7396,Peter Farrelly
351,15780,Dan St. Pierre
352,41378,Kerry Conran
353,30365,Michael Caton-Jones
354,29605,Mikael Håfström
355,23968,Phil Alden Robinson
356,27571,David Slade
357,52629,Joseph Ruben
358,52139,Seth MacFarlane
359,19840,Alejandro Amenábar
360,59646,Kinka Usher
361,50767,Craig Gillespie
362,12523,Rob Bowman
363,58656,Doug Lefler
364,293911,Scott Waugh
365,8844,Lawrence Kasdan
366,15045,Michael Lembeck
367,70500,Tom Hooper
368,9248,Nora Ephron
369,11701,Angelina Jolie
370,190,Clint Eastwood
371,6767,Larry Charles
372,240,Stanley Kubrick
373,82511,Will Gluck
374,56411,Glenn Ficarra
375,56412,John Requa
376,3893,David S. Goyer
377,18596,Taylor Hackford
378,7145,Michael Lehmann
379,1707,Stuart Beattie
380,3556,Roman Polanski
381,2294,Robert Rodriguez
382,2293,Frank Miller
383,67813,Baltasar Kormákur
384,57832,Daniel Lee
385,35689,Keenen Ivory Wayans
386,3026,Rob Reiner
387,71527,Marco Schnabel
388,71418,Demian Lichtenstein
389,60922,Josh Gordon
390,60923,Will Speck
391,49903,Tim Hill
392,5065,David Frankel
393,18323,Marc Lawrence
394,12708,Peter Billingsley
395,1179066,Wes Ball
396,52779,Ryan Murphy
397,4135,Robert Redford
398,46297,Jay Russell
399,65310,Kenny Ortega
400,48980,David McNally
401,53177,Brian Robbins
402,13581,Brian Levant
403,2260,Steven Zaillian
404,154705,Chris Butler
405,18250,Jon Avnet
406,64152,Robert Stevenhagen
407,66654,Kevin Donovan
408,32277,Geoff Murphy
409,17883,David O. Russell
410,132239,Babak Najafi
411,2419,Jean-Pierre Jeunet
412,1152981,Graham Annable
413,2171,Griffin Dunne
414,58072,John Pasquin
415,91268,Ruben Fleischer
416,1524,Harold Ramis
417,17350,Kevin Macdonald
418,18281,Donald Petrie
419,117052,Jorge Blanco
420,968303,Javier Abad
421,1158156,Marcos Martínez
422,2523,Stuart Baird
423,1223,Joel Coen
424,4746,Robert Lorenz
425,23213,Harold Becker
426,116357,Scott Stewart
427,1205756,Patrick Gilmore
428,57138,Tony Bill
429,21526,Rod Lurie
430,1723,Walter Hill
431,62020,Jack Sholder
432,5575,Akiva Goldsman
433,21981,Harald Zwart
434,8574,Walter Salles
435,1978,Iain Softley
436,508,David Koepp
437,23799,Uwe Boll
438,93991,Soi Cheang
439,21053,John Dahl
440,55252,Tim Miller
441,18356,Stephen Herek
442,16589,Peter MacDonald
443,1216147,Anthony Hemingway
444,74619,Sean Anders
445,20192,Brian Taylor
446,20193,Mark Neveldine
447,18844,John Madden
448,34453,Kevin Bray
449,65530,Mike Gabriel
450,54967,Sam Weisman
451,54584,Jesse Dylan
452,39819,Wayne Wang
453,20646,Gabriele Muccino
454,58729,Albert Magnoli
455,46076,Tom Dey
456,8029,Jimmy Hayward
457,9168,Alan Parker
458,13776,John Frankenheimer
459,101666,Paul King
460,62854,Akiva Schaffer
461,15175,William Friedkin
462,65702,Kent Alterman
463,53304,Peter Lord
464,565297,Jeff Newitt
465,37630,Shekhar Kapur
466,54025,Karyn Kusama
467,66088,Ronald F. Maxwell
468,101767,Robert Butler
469,42745,Steve Antin
470,33254,Jim Gillespie
471,1776,Francis Ford Coppola
472,10586,Richard Lester
473,65167,Scott Cooper
474,16847,Eli Roth
475,16848,Rob Zombie
476,141673,Jason Eisener
477,323,Curtis Hanson
478,71068,Phyllida Lloyd
479,52049,Jay Chandrasekhar
480,30715,Terrence Malick
481,42994,David Dobkin
482,3974,Miloš Forman
483,35453,Pierre Morel
484,70573,Paul Hunter
485,4489,Steve Oedekerk
486,61175,John Whitesell
487,1921,George Nolfi
488,17016,Neil Jordan
489,57633,Rawson Marshall Thurber
490,5281,Spike Lee
491,4723,Brian Helgeland
492,664,Frank Marshall
493,26875,Hideo Nakata
494,18357,Peter Hewitt
495,18311,Joe Roth
496,5345,Bennett Miller
497,59521,Jaume Collet-Serra
498,58375,Andy Fickman
499,61290,Matthew O'Callaghan
500,7312,Angela Robinson
501,5501,Gary Fleder
502,76927,Tommy Wirkola
503,7270,Adrian Lyne
504,2945,Stephen Gaghan
505,1265056,Jorge R. Gutierrez
506,33315,Richard Loncraine
507,8296,Christophe Gans
508,26502,Howard Deutch
509,68843,Jon Hurwitz
510,68844,Hayden Schlossberg
511,93214,Steven Quale
512,4610,John Landis
513,17649,Alexander Witt
514,20237,Beeban Kidron
515,21712,Carl Franklin
516,23880,Steven Seagal
517,2034,Danny Boyle
518,41550,Andrew Bergman
519,23393,Barbet Schroeder
520,16785,Peter Webber
521,8685,Andrew Niccol
522,21684,Bong Joon-ho
523,11770,John Carpenter
524,5655,Wes Anderson
525,224,David Cronenberg
526,57082,John Stockwell
527,64141,David Gordon Green
528,53334,Jim Sheridan
529,27436,Costa-Gavras
530,56059,Patrick Read Johnson
531,2163,Richard LaGravenese
532,518,Danny DeVito
533,58294,George Armitage
534,27226,Patrick Lussier
535,57134,James Wong
536,7018,Richard Curtis
537,41270,Chuck Bowman
538,75035,Olivier Megaton
539,4760,Deepa Mehta
540,6449,Warren Beatty
541,14911,Penny Marshall
542,16544,Ted Kotcheff
543,8452,Andrei Tarkovsky
544,31093,Yvette Kaplan
545,133293,Paul Bolger
546,142587,Greg Tiernan
547,3224,Stephen Frears
548,3045,P.J. Hogan
549,144221,Brad Furman
550,9855,Terence Young
551,12987,David Zucker
552,137427,Denis Villeneuve
553,52038,Thomas Carter
554,7017,Roger Michell
555,26648,Luis Llosa
556,16745,Melville Shavelson
557,52842,Garth Jennings
558,54644,Joel Zwick
559,52968,Russell Mulcahy
560,4755,David R. Ellis
561,7791,Peter Howitt
562,60237,John A. Davis
563,5602,David Lynch
564,16391,Julie Taymor
565,2406,Mathieu Kassovitz
566,35155,John Gray
567,79656,John Schultz
568,2228,Sean Penn
569,60129,Susan Stroman
570,18254,Simon Wincer
571,879,Billy Bob Thornton
572,21905,Danny Pang
573,31033,Oxide Pang Chun
574,16566,George P. Cosmatos
575,56710,Oliver Parker
576,43518,Lawrence Kasanoff
577,880,Ben Affleck
578,18069,Brian Gibson
579,11426,Ben Sharpsteen
580,11429,Hamilton Luske
581,12114,Michael Cimino
582,2291,Paul McGuigan
583,5216,Gus Van Sant
584,11873,Roger Kumble
585,58552,Burr Steers
586,7314,Nick Park
587,17871,John Hamburg
588,68215,Reginald Hudlin
589,10601,Joseph L. Mankiewicz
590,10400,Barbra Streisand
591,11676,Mark Pellington
592,10179,John Glen
593,19850,Catherine Hardwicke
594,27846,John Herzfeld
595,58164,Annabel Jankel
596,58165,Rocky Morton
597,114597,Julie Anne Robinson
598,19274,Seth Rogen
599,54734,Evan Goldberg
600,141169,Sngmoo Lee
601,2408,Jamel Debbouze
602,64901,Gordon Chan
603,72344,Asger Leth
604,16513,John G. Avildsen
605,29214,Anne Fletcher
606,5696,Bruce Beresford
